age_group,gender,donation_type,donation_amount,donation_date,newsletter_opt_in,donation_amount_log,donation_year,donation_month,donation_day,country_Brazil,country_Canada,country_Finland,country_France,country_Germany,country_India,country_Netherlands,country_New Zealand,country_South Africa,country_UK,country_USA,payment_method_Cheque,payment_method_Credit Card,payment_method_Paypal,referral_channel_Newsletter,referral_channel_Online advertising,referral_channel_Social Media,referral_channel_Website,referral_channel_Word of mouth,sector_Arts & Culture,sector_Construction,sector_Consulting,sector_Education,sector_Energy,sector_Environment,sector_Finance/Banking,sector_Government,sector_Healthcare,sector_Hospitality,sector_Law,sector_Logistics,sector_Media & Communication,sector_Nonprofit,sector_Others,sector_Pharmaceuticals,sector_Real Estate,sector_Retail,sector_Science & Research,sector_Technology,campaign_Habitat for Hope,campaign_Jungle Education Project,campaign_Marine Mammal Defense Mission,campaign_Reforest the Sanctuary,campaign_Rescue Orphaned Gorillas,campaign_Wildlife Rescue Van Drive
50-65,Female,Monthly,115.31,2024-10-24,False,4.7562590403509475,2024,10,24,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
50-65,Female,One-time,8.6,2024-06-21,False,2.2617630984737906,2024,6,21,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
50-65,Female,One-time,40.07,2024-08-21,False,3.7152779279684673,2024,8,21,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
18-29,Male,One-time,45.17,2023-10-09,False,3.8323302365188976,2023,10,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30-49,Female,One-time,85.84,2024-09-01,True,4.464067345010091,2024,9,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
50-65,Male,One-time,224.99,2024-07-25,True,5.420490750505713,2024,7,25,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
18-29,Female,One-time,15.0,2023-07-21,True,2.772588722239781,2023,7,21,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
50-65,Female,One-time,93.42,2024-01-07,False,4.54775291511814,2024,1,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
50-65,Female,Monthly,19.46,2025-05-02,True,3.0184717605234805,2025,5,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50-65,Female,Monthly,209.59,2024-03-21,True,5.349913115191687,2024,3,21,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
