ID,Age,Weight (lbs),Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Average Temperature (F),Healthy,Breed_Beagle,Breed_Boxer,Breed_Bulldog,Breed_Chihuahua,Breed_Dachshund,Breed_Doberman,Breed_German Shepherd,Breed_Golden Retriever,Breed_Great Dane,Breed_Labrador Retriever,Breed_Poodle,Breed_Rottweiler,Breed_Siberian Husky,Breed_Yorkshire Terrier,Breed Size_Medium,Breed Size_Small,Sex_Male,Spay/Neuter Status_Spayed,Daily Activity Level_Low,Daily Activity Level_Moderate,Daily Activity Level_Very Active,Diet_Home cooked,Diet_Special diet,Diet_Wet food,Food Brand_Hill's Science,Food Brand_Iams,Food Brand_Nutro,Food Brand_Pedigree,Food Brand_Purina,Food Brand_Royal Canin,Food Brand_Special,Food Brand_Wellness,Other Pets in Household_Yes,Medications_Yes,Seizures_Yes,Owner Activity Level_Low,Owner Activity Level_Moderate,Owner Activity Level_Very Active
1,3.0,0.6677657185089362,5.0,12.0,1.0,0.0,30.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2,4.0,0.4634185373751654,2.0,11.0,3.0,0.0,47.0,Yes,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
3,12.0,1.1445758078210677,1.0,10.0,1.0,0.0,92.0,Yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
4,13.0,0.0,4.0,12.0,2.0,0.0,75.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,13.0,0.0,3.0,9.0,1.0,0.0,64.0,No,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True
6,2.0,0.0,0.0,11.0,3.0,1.0,85.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
7,8.0,0.0,2.0,8.0,1.0,0.0,53.0,Yes,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8,11.0,1.0764600807764775,2.0,9.0,2.0,1.0,85.0,No,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False
9,12.0,0.0,2.0,11.0,2.0,0.0,65.0,No,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
10,11.0,0.0,3.0,11.0,2.0,0.0,38.0,No,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
11,2.0,0.9402286266872971,3.0,11.0,2.0,0.0,87.0,Yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
12,7.0,0.0,2.0,13.0,3.0,0.0,78.0,No,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
13,5.0,0.0,2.0,10.0,1.0,0.0,37.0,Yes,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True
14,10.0,0.3953028103305752,3.0,10.0,2.0,0.0,90.0,Yes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
15,8.0,1.1445758078210677,2.0,10.0,0.0,0.0,42.0,Yes,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
16,13.0,0.0,3.0,8.0,2.0,3.0,54.0,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
17,4.0,1.0764600807764775,2.0,11.0,1.0,0.0,77.0,Yes,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
18,2.0,0.0,2.0,8.0,2.0,0.0,48.0,Yes,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
19,11.0,2.5068903487128726,3.0,13.0,2.0,0.0,70.0,No,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,11.0,0.0,4.0,10.0,1.0,0.0,63.0,No,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
21,7.0,0.0,3.0,11.0,0.0,1.0,70.0,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
22,3.0,0.0,3.0,12.0,1.0,0.0,82.0,Yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
23,11.0,0.0,1.0,12.0,1.0,0.0,100.0,Yes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
24,9.0,1.0083443537318872,3.0,12.0,1.0,0.0,74.0,Yes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
